Table E200-1: GDP by major expenditure component and per capita GDP at current market prices,,,,,,,,,,,,,,,,,,,,,,,,,Index
,,,,,,,,,,,,,,,,,,,,,,,,,
GDP expenditure component,,Gross Domestic Product [1],,Per capita GDP,,Domestic demand [2],,Final demand*[3],,Private consumption expenditure,,Government consumption expenditure,,Gross domestic fixed capital formation,,Changes in inventories,Exports of goods* (f.o.b.),,Exports of services*,,Imports of goods* (f.o.b.),,Imports of services*,,
Year,Quarter,HK$ million,Year-on-year % change,HK$,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,
2009,,"1,659,245 ",-2.8 ,"237,960 ",-3.0 ,"1,528,620 ",-0.3 ,"4,484,317 ",-7.3 ,"1,013,615 ",-1.3 ,"152,512 ",3.0 ,"339,552 ",-3.2 ,"22,941 ","2,454,394 ",-11.0 ,"501,303 ",-7.9 ,"2,351,386 ",-8.3 ,"473,686 ",-16.2 ,
2010,,"1,776,332 ",7.1 ,"252,887 ",6.3 ,"1,671,979 ",9.4 ,"5,319,190 ",18.6 ,"1,090,234 ",7.6 ,"157,371 ",3.2 ,"386,852 ",13.9 ,"37,522 ","3,021,492 ",23.1 ,"625,719 ",24.8 ,"2,995,928 ",27.4 ,"546,930 ",15.5 ,
2011,,"1,934,430 ",8.9 ,"273,549 ",8.2 ,"1,859,952 ",11.2 ,"5,977,433 ",12.4 ,"1,224,402 ",12.3 ,"168,517 ",7.1 ,"455,294 ",17.7 ,"11,739 ","3,406,765 ",12.8 ,"710,716 ",13.6 ,"3,464,968 ",15.7 ,"578,035 ",5.7 ,
2012,,"2,037,059 ",5.3 ,"284,899 ",4.1 ,"2,014,028 ",8.3 ,"6,411,011 ",7.3 ,"1,314,969 ",7.4 ,"185,310 ",10.0 ,"517,411 ",13.6 ,"-3,662 ","3,632,957 ",6.6 ,"764,026 ",7.5 ,"3,779,686 ",9.1 ,"594,266 ",2.8 ,
2013,,"2,138,305 ",5.0 ,"297,860 ",4.5 ,"2,125,473 ",5.5 ,"6,864,172 ",7.1 ,"1,413,058 ",7.5 ,"198,572 ",7.2 ,"515,516 ",-0.4 ,"-1,673 ","3,926,059 ",8.1 ,"812,640 ",6.4 ,"4,142,651 ",9.6 ,"583,216 ",-1.9 ,
2014,,"2,260,005 ",5.7 ,"312,609 ",5.0 ,"2,255,373 ",6.1 ,"7,071,227 ",3.0 ,"1,502,768 ",6.3 ,"214,216 ",7.9 ,"530,916 ",3.0 ,"7,473 ","3,986,769 ",1.5 ,"829,085 ",2.0 ,"4,237,700 ",2.3 ,"573,522 ",-1.7 ,
2015,,"2,398,280 ",6.1 ,"328,924 ",5.2 ,"2,340,979 ",3.8 ,"7,039,152 ",-0.5 ,"1,593,091 ",6.0 ,"231,263 ",8.0 ,"537,205 ",1.2 ,"-20,580 ","3,889,225 ",-2.4 ,"808,948 ",-2.4 ,"4,066,527 ",-4.0 ,"574,345 ",0.1 ,
2016,,"2,490,598 ",3.8 ,"339,476 ",3.2 ,"2,433,737 ",4.0 ,"7,091,283 ",0.7 ,"1,650,101 ",3.6 ,"247,973 ",7.2 ,"535,216 ",-0.4 ,447 ,"3,892,886 ",0.1 ,"764,660 ",-5.5 ,"4,022,579 ",-1.1 ,"578,106 ",0.7 ,
2017,,"2,659,611 ",6.8 ,"359,737 ",6.0 ,"2,632,772 ",8.2 ,"7,656,841 ",8.0 ,"1,784,375 ",8.1 ,"261,447 ",5.4 ,"575,977 ",7.6 ,"10,973 ","4,212,774 ",8.2 ,"811,295 ",6.1 ,"4,391,306 ",9.2 ,"605,924 ",4.8 ,
2018,,"2,835,429 ",6.6 ,"380,462 ",5.8 ,"2,841,490 ",7.9 ,"8,181,723 ",6.9 ,"1,936,427 ",8.5 ,"281,420 ",7.6 ,"612,439 ",6.3 ,"11,204 ","4,453,350 ",5.7 ,"886,883 ",9.3 ,"4,706,347 ",7.2 ,"639,947 ",5.6 ,
